table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Shelby County, Alabama,"223,912","227,453","230,033","233,000"
.Sumter County, Alabama,"12,191","11,967","11,889","11,727"
.Talladega County, Alabama,"81,575","80,734","80,748","81,132"
.Tallapoosa County, Alabama,"41,284","41,099","40,913","40,677"
.Tuscaloosa County, Alabama,"231,547","235,670","236,690","237,373"
.Walker County, Alabama,"65,138","64,636","64,438","64,728"
.Washington County, Alabama,"15,329","15,223","15,094","15,022"
.Wilcox County, Alabama,"10,534","10,423","10,139","9,944"
.Winston County, Alabama,"23,493","23,655","23,741","23,611"
.Aleutians East Borough, Alaska,"3,427","3,417","3,430","3,461"
.Aleutians West Census Area, Alaska,"5,214","5,147","5,090","5,160"
.Anchorage Municipality, Alaska,"290,893","289,169","286,983","286,075"
.Bethel Census Area, Alaska,"18,661","18,594","18,259","18,224"
.Bristol Bay Borough, Alaska,830,842,870,844
.Chugach Census Area, Alaska,"7,080","6,971","6,899","6,769"
.Copper River Census Area, Alaska,"2,614","2,621","2,609","2,674"
.Denali Borough, Alaska,"1,614","1,595","1,575","1,584"
.Dillingham Census Area, Alaska,"4,838","4,796","4,724","4,607"
.Fairbanks North Star Borough, Alaska,"95,337","95,593","95,202","94,840"
.Haines Borough, Alaska,"2,084","2,074","2,070","2,070"
.Hoonah-Angoon Census Area, Alaska,"2,358","2,330","2,279","2,262"
.Juneau City and Borough, Alaska,"32,209","31,979","31,740","31,555"
.Kenai Peninsula Borough, Alaska,"58,942","59,946","60,611","61,223"
.Ketchikan Gateway Borough, Alaska,"13,915","13,866","13,772","13,738"
.Kodiak Island Borough, Alaska,"13,047","12,878","12,639","12,565"
.Kusilvak Census Area, Alaska,"8,371","8,377","8,214","8,001"
.Lake and Peninsula Borough, Alaska,"1,450","1,419","1,377","1,331"
.Matanuska-Susitna Borough, Alaska,"107,504","110,998","113,472","115,239"
.Nome Census Area, Alaska,"10,029","9,894","9,791","9,763"
.North Slope Borough, Alaska,"11,004","11,054","10,811","10,603"
.Northwest Arctic Borough, Alaska,"7,797","7,635","7,453","7,361"
.Petersburg Borough, Alaska,"3,403","3,381","3,370","3,427"
.Prince of Wales-Hyder Census Area, Alaska,"5,741","5,720","5,650","5,696"
.Sitka City and Borough, Alaska,"8,426","8,383","8,353","8,282"
.Skagway Municipality, Alaska,"1,238","1,147","1,092","1,095"
.Southeast Fairbanks Census Area, Alaska,"6,821","7,007","7,016","7,077"
.Wrangell City and Borough, Alaska,"2,126","2,102","2,071","2,064"
.Yakutat City and Borough, Alaska,682,710,685,687
.Yukon-Koyukuk Census Area, Alaska,"5,309","5,278","5,169","5,129"
.Apache County, Arizona,"65,913","65,389","65,533","65,036"
.Cochise County, Arizona,"125,527","126,119","125,487","124,640"
.Coconino County, Arizona,"145,192","142,897","144,223","144,472"
.Gila County, Arizona,"53,351","53,549","53,922","54,003"
.Graham County, Arizona,"38,646","38,921","38,822","39,525"
.Greenlee County, Arizona,"9,528","9,400","9,327","9,369"
.La Paz County, Arizona,"16,569","16,385","16,535","16,710"
.Maricopa County, Arizona,"4,445,059","4,499,438","4,555,833","4,585,871"
.Mohave County, Arizona,"214,185","217,164","220,905","223,682"
.Navajo County, Arizona,"106,763","107,726","108,800","109,175"
.Pima County, Arizona,"1,045,175","1,048,914","1,057,476","1,063,162"
.Pinal County, Arizona,"430,187","448,993","465,037","484,239"
.Santa Cruz County, Arizona,"47,712","47,956","48,680","49,158"
.Yavapai County, Arizona,"237,217","242,352","246,230","249,081"
.Yuma County, Arizona,"205,659","207,284","208,874","213,221"
.Arkansas County, Arkansas,"17,107","16,687","16,498","16,307"
.Ashley County, Arkansas,"18,957","18,654","18,348","18,262"
.Baxter County, Arkansas,"41,686","42,224","42,485","42,875"
.Benton County, Arkansas,"286,618","294,297","302,822","311,013"
.Boone County, Arkansas,"37,381","37,894","38,280","38,530"
.Bradley County, Arkansas,"10,495","10,343","10,168","10,104"
.Calhoun County, Arkansas,"4,736","4,728","4,687","4,641"
.Carroll County, Arkansas,"28,240","28,539","28,717","28,814"
.Chicot County, Arkansas,"10,156","10,052","9,834","9,538"
.Clark County, Arkansas,"21,385","21,244","21,276","21,274"
.Clay County, Arkansas,"14,529","14,362","14,271","14,201"
.Cleburne County, Arkansas,"24,704","25,028","25,253","25,445"
.Cleveland County, Arkansas,"7,552","7,486","7,467","7,378"
.Columbia County, Arkansas,"22,744","22,490","22,286","22,150"
.Conway County, Arkansas,"20,730","20,902","21,021","21,077"
.Craighead County, Arkansas,"111,619","111,794","112,863","113,993"
.Crawford County, Arkansas,"60,142","60,430","61,041","61,891"
.Crittenden County, Arkansas,"48,076","47,438","47,051","47,139"
.Cross County, Arkansas,"16,795","16,672","16,590","16,420"
.Dallas County, Arkansas,"6,444","6,309","6,196","6,185"
.Desha County, Arkansas,"11,324","11,048","10,758","10,479"
.Drew County, Arkansas,"17,313","17,057","16,912","16,945"
.Faulkner County, Arkansas,"123,820","125,608","127,565","129,951"
.Franklin County, Arkansas,"17,139","17,166","17,270","17,468"
.Fulton County, Arkansas,"12,054","12,147","12,355","12,421"
.Garland County, Arkansas,"100,258","100,393","99,982","99,784"
.Grant County, Arkansas,"18,018","18,123","18,129","18,383"
.Greene County, Arkansas,"45,864","46,341","46,408","46,743"
.Hempstead County, Arkansas,"19,989","19,667","19,481","19,343"
.Hot Spring County, Arkansas,"33,075","33,079","33,149","33,258"
.Howard County, Arkansas,"12,757","12,695","12,622","12,533"
.Independence County, Arkansas,"37,940","38,100","38,254","38,320"
.Izard County, Arkansas,"13,602","13,921","14,029","14,169"
.Jackson County, Arkansas,"16,761","16,781","16,654","16,784"
.Jefferson County, Arkansas,"66,830","65,637","64,295","63,661"
.Johnson County, Arkansas,"25,724","25,957","25,970","26,129"
.Lafayette County, Arkansas,"6,293","6,159","6,129","6,095"
.Lawrence County, Arkansas,"16,218","16,329","16,194","16,318"
.Lee County, Arkansas,"8,526","8,560","8,367","8,201"
.Lincoln County, Arkansas,"12,890","13,168","12,910","12,898"
.Little River County, Arkansas,"11,974","11,973","11,865","11,805"
.Logan County, Arkansas,"21,100","21,229","21,258","21,400"
.Lonoke County, Arkansas,"74,055","74,770","75,199","75,944"
.Madison County, Arkansas,"16,545","16,944","17,463","17,775"
.Marion County, Arkansas,"16,873","16,984","17,289","17,514"
.Miller County, Arkansas,"42,588","42,494","42,608","42,415"
.Mississippi County, Arkansas,"40,538","39,534","38,863","38,663"
.Monroe County, Arkansas,"6,776","6,648","6,568","6,512"
.Montgomery County, Arkansas,"8,485","8,635","8,543","8,620"
.Nevada County, Arkansas,"8,284","8,184","8,179","8,120"
.Newton County, Arkansas,"7,196","7,167","7,101","7,071"
.Ouachita County, Arkansas,"22,615","22,312","21,994","21,793"
.Perry County, Arkansas,"9,997","9,995","10,073","10,184"
.Phillips County, Arkansas,"16,440","15,825","15,350","14,961"
.Pike County, Arkansas,"10,162","10,114","10,159","10,208"
.Poinsett County, Arkansas,"22,954","22,691","22,453","22,397"
.Polk County, Arkansas,"19,177","19,333","19,334","19,436"
.Pope County, Arkansas,"63,410","63,778","64,053","64,593"
.Prairie County, Arkansas,"8,249","8,095","8,077","8,036"
.Pulaski County, Arkansas,"399,274","398,108","399,387","400,009"
